Timestamp;w_time;w_yaw
0;7013;4.134475E+003
1087;7014;4.134511E+003
2087;7015;4.134545E+003
3086;7016;4.134522E+003
4104;7017;4.134550E+003
5086;7018;4.134518E+003
6092;7019;4.134514E+003
7091;7020;4.134581E+003
8088;7021;4.134644E+003
9087;7022;4.134714E+003
10087;7023;4.134747E+003
11087;7024;4.134755E+003
12084;7025;4.134782E+003
13084;7026;4.134745E+003
14115;7027;4.134696E+003
15105;7028;4.134717E+003
16088;7029;4.134750E+003
17085;7030;4.134708E+003
18085;7031;4.134685E+003
19091;7032;4.134651E+003
20085;7033;4.134651E+003
21091;7034;4.134622E+003
22092;7035;4.134649E+003
23089;7036;4.134682E+003
24089;7037;4.134688E+003
25110;7038;4.134683E+003
26101;7039;4.134733E+003
27084;7040;4.134759E+003
28090;7041;4.134703E+003
29090;7042;4.134765E+003
30090;7043;4.134793E+003
31090;7044;4.134782E+003
32087;7045;4.134698E+003
33087;7046;4.134698E+003
34084;7047;4.134701E+003
35085;7048;4.134701E+003
36115;7049;4.134735E+003
37101;7050;4.134717E+003
38084;7051;4.134698E+003
39089;7052;4.134708E+003
40091;7053;4.134709E+003
41086;7054;4.134644E+003
42086;7055;4.134743E+003
43091;7056;4.134799E+003
44090;7057;4.134861E+003
45086;7058;4.134944E+003
46087;7059;4.134971E+003
47092;7060;4.134921E+003
48145;7061;4.134910E+003
49091;7062;4.134861E+003
50085;7063;4.134766E+003
51090;7064;4.134858E+003
52090;7065;4.134886E+003
53086;7066;4.134799E+003
54086;7067;4.134745E+003
55091;7068;4.134836E+003
56090;7069;4.134848E+003
57086;7070;4.134819E+003
58123;7071;4.134777E+003
59086;7072;4.134760E+003
60089;7073;4.134785E+003
61085;7074;4.134771E+003
62085;7075;4.134750E+003
63090;7076;4.134752E+003
64089;7077;4.134757E+003
65085;7078;4.134810E+003
66085;7079;4.134792E+003
67090;7080;4.134738E+003
68089;7081;4.134711E+003
69127;7082;4.134674E+003
70090;7083;4.134665E+003
71090;7084;4.134609E+003
72086;7085;4.134649E+003
73086;7086;4.134737E+003
74091;7087;4.134715E+003
75091;7088;4.134630E+003
76088;7089;4.134614E+003
77088;7090;4.134682E+003
78085;7091;4.134729E+003
79110;7092;4.134776E+003
80105;7093;4.134801E+003
81088;7094;4.134834E+003
82085;7095;4.134874E+003
83085;7096;4.134883E+003
84249;7097;4.134947E+003
85088;7098;4.134857E+003
86089;7099;4.134896E+003
87086;7100;4.134915E+003
88086;7101;4.134833E+003
89092;7102;4.134790E+003
90111;7103;4.134742E+003
91102;7104;4.134851E+003
92085;7105;4.134853E+003
93090;7106;4.134835E+003
94091;7107;4.134860E+003
95088;7108;4.134855E+003
96088;7109;4.134866E+003
97085;7110;4.134854E+003
98085;7111;4.134861E+003
99091;7112;4.134882E+003
100085;7113;4.134926E+003
101157;7114;4.134875E+003
102089;7115;4.134818E+003
103089;7116;4.134797E+003
104086;7117;4.134749E+003
105086;7118;4.134694E+003
106090;7119;4.134675E+003
107089;7120;4.134692E+003
108085;7121;4.134670E+003
109085;7122;4.134744E+003
110084;7123;4.134718E+003
111093;7124;4.134774E+003
112130;7125;4.134728E+003
113089;7126;4.134744E+003
114089;7127;4.134734E+003
115085;7128;4.134783E+003
116084;7129;4.134812E+003
117089;7130;4.134833E+003
118089;7131;4.134834E+003
119085;7132;4.134843E+003
120088;7133;4.134895E+003
121093;7134;4.134874E+003
122092;7135;4.134772E+003
123151;7136;4.134801E+003
124087;7137;4.134853E+003
125087;7138;4.134845E+003
126093;7139;4.134852E+003
127092;7140;4.134833E+003
128088;7141;4.134857E+003
129088;7142;4.134830E+003
130087;7143;4.134824E+003
131086;7144;4.134886E+003
132091;7145;4.134918E+003
133091;7146;4.134867E+003
134150;7147;4.134884E+003
135091;7148;4.134873E+003
136091;7149;4.134812E+003
137087;7150;4.134798E+003
138086;7151;4.134782E+003
139091;7152;4.134698E+003
140085;7153;4.134614E+003
141091;7154;4.134617E+003
142092;7155;4.134669E+003
143089;7156;4.134761E+003
144089;7157;4.134787E+003
145122;7158;4.134815E+003
146086;7159;4.134779E+003
147087;7160;4.134742E+003
148084;7161;4.134701E+003
149084;7162;4.134665E+003
150084;7163;4.134674E+003
151084;7164;4.134648E+003
152089;7165;4.134647E+003
153090;7166;4.134729E+003
154086;7167;4.134690E+003
155087;7168;4.134696E+003
156120;7169;4.134687E+003
157085;7170;4.134678E+003
158086;7171;4.134735E+003
159092;7172;4.134737E+003
160086;7173;4.134726E+003
161092;7174;4.134725E+003
162092;7175;4.134695E+003
163089;7176;4.134685E+003
164089;7177;4.134680E+003
165086;7178;4.134652E+003
166087;7179;4.134708E+003
167162;7180;4.134730E+003
168089;7181;4.134676E+003
169090;7182;4.134614E+003
170089;7183;4.134585E+003
171088;7184;4.134559E+003
172092;7185;4.134526E+003
173092;7186;4.134464E+003
174088;7187;4.134452E+003
175088;7188;4.134484E+003
176093;7189;4.134430E+003
177092;7190;4.134501E+003
178107;7191;4.134510E+003
179089;7192;4.134597E+003
180088;7193;4.134524E+003
181087;7194;4.134474E+003
182084;7195;4.134500E+003
183092;7196;4.134472E+003
184088;7197;4.134379E+003
185088;7198;4.134326E+003
186091;7199;4.134381E+003
187091;7200;4.134436E+003
188087;7201;4.134479E+003
189104;7202;4.134457E+003
190090;7203;4.134473E+003
191086;7204;4.134439E+003
192086;7205;4.134435E+003
193091;7206;4.134391E+003
194089;7207;4.134432E+003
195089;7208;4.134449E+003
196085;7209;4.134522E+003
197085;7210;4.134554E+003
198090;7211;4.134532E+003
199089;7212;4.134558E+003
200103;7213;4.134606E+003
201085;7214;4.134600E+003
202090;7215;4.134504E+003
203090;7216;4.134469E+003
204086;7217;4.134475E+003
205086;7218;4.134466E+003
206092;7219;4.134480E+003
207092;7220;4.134507E+003
208089;7221;4.134513E+003
209089;7222;4.134545E+003
210089;7223;4.134521E+003
211106;7224;4.134396E+003
212089;7225;4.134394E+003
213085;7226;4.134425E+003
214086;7227;4.134392E+003
215092;7228;4.134344E+003
216092;7229;4.134368E+003
217089;7230;4.134420E+003
218089;7231;4.134441E+003
219086;7232;4.134418E+003
220089;7233;4.134379E+003
221086;7234;4.134380E+003
222103;7235;4.134318E+003
223086;7236;4.134314E+003
224092;7237;4.134365E+003
225092;7238;4.134357E+003
226089;7239;4.134354E+003
227089;7240;4.134339E+003
228086;7241;4.134387E+003
229087;7242;4.134512E+003
230087;7243;4.134479E+003
231087;7244;4.134479E+003
232093;7245;4.134497E+003
233104;7246;4.134485E+003
234087;7247;4.134456E+003
235093;7248;4.134399E+003
236092;7249;4.134350E+003
237088;7250;4.134322E+003
238087;7251;4.134301E+003
239092;7252;4.134318E+003
240086;7253;4.134277E+003
241091;7254;4.134292E+003
